Clapeyron Database File,,,,,,,,
octyne~|~1-octyne,416,110.2,3.7647,3.7327,247.34,0,0,10.1016/j.fluid.2006.07.006
benzene,501,78.11,2.4653,3.6478,287.35,0,0,10.1021/ie0003887
toluene,502,92.14,2.8149,3.7169,285.69,0,0,10.1021/ie0003887
ethylbenzene,504,106.17,3.0799,3.7974,287.35,0,0,10.1021/ie0003887
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",506,106.17,3.1861,3.7563,283.98,0,0,10.1021/ie0003887
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",505,106.17,3.1362,3.76,291.05,0,0,10.1021/ie0003887
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",507,106.17,3.1723,3.7781,283.77,0,0,10.1021/ie0003887
"mesitylene~|~1,3,5-trimethylbenzene",516,120.19,3.7547,3.7032,274.21,0,0,10.1016/j.fluid.2006.07.006
"1,2,3-trimethylbenzene",514,120.19,3.4688,3.7574,295.37,0,0,10.1016/j.fluid.2006.07.006
"1,2,4-trimethylbenzene",515,120.19,3.5204,3.777,287.45,0,0,10.1016/j.fluid.2006.07.006
cumene~|~isopropylbenzene,510,120.19,3.3198,3.8675,284.09,0,0,10.1016/j.fluid.2006.07.006
m-ethyltoluene~|~1-methyl-3-ethylbenzene~|~1-ethyl-3-methylbenzene,512,120.19,3.4593,3.8198,284.2,0,0,10.1016/j.fluid.2006.07.006
o-ethyltoluene~|~1-methyl-2-ethylbenzene~|~1-ethyl-2-methylbenzene,511,120.19,3.3408,3.8426,293.07,0,0,10.1016/j.fluid.2006.07.006
p-ethyltoluene~|~1-ethyl-4-methylbenzene,513,120.19,3.3364,3.8708,290.23,0,0,10.1016/j.fluid.2006.07.006
propylbenzene~|~n-propylbenzene,509,120.19,3.3438,3.8438,288.13,0,0,10.1021/ie0003887
"tetralin~|~1,2,3,4-tetrahydronaphthalene",701,132.21,3.3131,3.875,325.07,0,0,10.1021/ie0003887
"tert-butylbenzene~|~(1,1-dimethylethyl)benzene",521,134.22,3.4461,3.9669,287.79,0,0,10.1016/j.fluid.2006.07.006
p-cymene~|~p-isopropyltoluene~|~1-methyl-4-isopropylbenzene~|~1-(1-methylethyl)-4-methylbenzene,524,134.22,3.6022,3.9247,285.59,0,0,10.1016/j.fluid.2006.07.006
m-cymene~|~.beta.-cymene~|~1-methyl-3-(1-methylethyl)-benzene,523,134.22,3.4623,3.973,290.71,0,0,10.1016/j.fluid.2006.07.006
o-cymene~|~1-methyl-2-isopropylbenzene~|~1-isopropyl-2-methylbenzene,522,134.22,3.4251,3.9696,295.04,0,0,10.1016/j.fluid.2006.07.006
"m-diethylbenzene~|~1,3-diethylbenzene",525,134.22,3.6407,3.9049,287.43,0,0,10.1016/j.fluid.2006.07.006
"o-diethylbenzene~|~1,2-diethylbenzene",526,134.22,3.6217,3.6876,290.32,0,0,10.1016/j.fluid.2006.07.006
"p-diethylbenzene~|~1,4-diethylbenzene",527,134.22,3.7494,3.8741,284.27,0,0,10.1016/j.fluid.2006.07.006
"2-ethyl-m-xylene~|~2-ethyl-1,3-dimethylbenzene~|~1,3-dimethyl-2-ethylbenzene",576,134.22,3.826,3.8033,286.28,0,0,10.1016/j.fluid.2006.07.006
"2-ethyl-p-xylene~|~2-ethyl-1,4-dimethylbenzene~|~1-ethyl-2,5-dimethylbenzene",577,134.22,3.9306,3.7845,279.78,0,0,10.1016/j.fluid.2006.07.006
"4-ethyl-m-xylene~|~1-ethyl-2,4-dimethylbenzene",578,134.22,3.8626,3.8134,283.3,0,0,10.1016/j.fluid.2006.07.006
"4-ethyl-o-xylene~|~4-ethyl-1,2-dimethylbenzene~|~1-ethyl-3,4-dimethylbenzene",579,134.22,3.8007,3.8949,282.91,0,0,10.1016/j.fluid.2006.07.006
"5-ethyl-m-xylene~|~1-ethyl-3,5-dimethylbenzene",575,134.22,3.8293,3.8383,281.01,0,0,10.1016/j.fluid.2006.07.006
2-butylbenzene~|~sec-butyl benzene~|~(1-methylpropyl)benzene,520,134.22,3.18,4.0867,303.58,0,0,10.1016/j.fluid.2006.07.006
"1,2,4,5-tetramethylbenzene",532,134.22,3.948,3.7777,285.77,0,0,10.1016/j.fluid.2006.07.006
"3-ethyl-o-xylene~|~1-ethyl-2,3-dimethylbenzene",580,134.22,3.7826,3.825,290.74,0,0,10.1016/j.fluid.2006.07.006
isobutylbenzene~|~2-methylpropyl benzene~|~(2-methylpropyl)benzene,519,134.22,3.6917,3.89,278.86,0,0,10.1016/j.fluid.2006.07.006
butylbenzene~|~n-butylbenzene,518,134.22,3.7662,3.8727,283.07,0,0,10.1021/ie0003887
pentylbenzene~|~n-pentylbenzene,567,148.24,3.9635,3.935,288.02,0,0,10.1016/j.fluid.2006.07.006
biphenyl,558,154.21,3.8877,3.8151,327.42,0,0,10.1021/ie0003887
"p-tert-butyl styrene~|~1-(1,1-dimethylethyl)-4-ethenylbenzene",621,160.26,3.8619,4.0487,303.56,0,0,10.1016/j.fluid.2006.07.006
hexylbenzene~|~n-hexylbenzene,568,162.27,4.376,3.9298,284.07,0,0,10.1016/j.fluid.2006.07.006
heptylbenzene~|~n-heptylbenzene,549,176.3,4.5241,4.0149,289.08,0,0,10.1016/j.fluid.2006.07.006
octylbenzene~|~n-octylbenzene,569,190.32,5.0295,3.9752,282.8,0,0,10.1016/j.fluid.2006.07.006
nonylbenzene~|~n-nonylbenzene,570,204.35,5.429,3.9718,280.64,0,0,10.1016/j.fluid.2006.07.006
decylbenzene~|~n-decylbenzene~|~1-phenyldecane,554,218.38,5.9324,3.9448,276.1,0,0,10.1016/j.fluid.2006.07.006
undecylbenzene~|~n-undecylbenzene,571,232.4,6.4419,3.9192,272.31,0,0,10.1016/j.fluid.2006.07.006
dodecylbenzene~|~n-dodecylbenzene,574,246.43,6.7475,3.941,272.53,0,0,10.1016/j.fluid.2006.07.006
tridecylbenzene~|~n-tridecylbenzene,572,260.46,7.0833,3.9538,272.38,0,0,10.1016/j.fluid.2006.07.006
tetradecylbenzene~|~n-tetradecylbenzene,573,274.48,7.4567,3.957,271.19,0,0,10.1016/j.fluid.2006.07.006
pentadecylbenzene~|~n-pentadecylbenzene,2575,288.51,7.8646,3.955,269.89,0,0,10.1016/j.fluid.2006.07.006
hexadecylbenzene~|~n-hexadecylbenzene,2576,302.54,8.3513,3.9416,267.76,0,0,10.1016/j.fluid.2006.07.006
heptadecylbenzene~|~n-heptadecylbenzene,2577,316.56,8.3475,3.9989,271.69,0,0,10.1016/j.fluid.2006.07.006
octadecylbenzene~|~n-octadecylbenzene,2578,330.59,8.5544,4.0163,272.99,0,0,10.1016/j.fluid.2006.07.006
indene~|~1h-indene,803,116.16,2.8969,3.88,334.88,0,0,10.1016/j.fluid.2006.07.006
indane,820,118.18,3.1093,3.8233,316.99,0,0,10.1016/j.fluid.2006.07.006
naphthalene,701,128.17,3.0047,3.9133,353.63,0,0,10.1016/j.fluid.2006.07.006
adamantane,810,136.23,1.8837,4.7979,452.13,0,0,10.1016/j.fluid.2006.07.006
"camphene~|~2,2-dimethyl-3-methylenebicyclo[2.2.1]heptane",839,136.23,3.0322,4.147,300.83,0,0,10.1016/j.fluid.2006.07.006
1-methylnaphthalene,702,142.2,3.5975,3.8173,335.57,0,0,10.1016/j.fluid.2006.07.006
2-methylnaphthalene,703,142.2,3.3234,3.9533,347.55,0,0,10.1016/j.fluid.2006.07.006
acenaphthene,808,154.21,3.6387,3.856,355.5,0,0,10.1016/j.fluid.2006.07.006
1-ethylnaphthalene,704,156.22,3.7865,3.8809,333.55,0,0,10.1016/j.fluid.2006.07.006
dibenzofuran~|~dibenzo[bd]furan,1480,168.19,2.3829,4.5718,452.21,0,0,10.1016/j.fluid.2006.07.006
1-propylnaphthalene~|~1-n-propylnaphthalene,718,170.25,3.8084,4.0307,338.48,0,0,10.1016/j.fluid.2006.07.006
anthracene,804,178.23,3.3811,4.1423,411.47,0,0,10.1016/j.fluid.2006.07.006
1-butylnaphthalene~|~1-n-butylnaphthalene,713,184.28,4.695,3.8582,311.66,0,0,10.1016/j.fluid.2006.07.006
pyrene,717,202.25,3.7597,4.1574,421.04,0,0,10.1016/j.fluid.2006.07.006
1-phenylnaphthalene,710,204.27,4.917,3.8225,331.06,0,0,10.1016/j.fluid.2006.07.006
1-hexyl naphthalene~|~1-n-hexylnaphthalene,714,212.33,5.5795,3.8581,300.4,0,0,10.1016/j.fluid.2006.07.006
1-nonyl naphthalene,711,254.41,5.5274,4.1881,319.52,0,0,10.1016/j.fluid.2006.07.006
1-decyl naphthalene~|~1-n-decylnaphthalene,712,268.44,5.7671,4.2172,318.51,0,0,10.1016/j.fluid.2006.07.006
r40~|~chloromethane~|~methyl chloride,1502,50.49,1.9297,3.2293,240.56,0,0,10.1021/ie0003887
chloroethane~|~ethyl chloride,1503,64.51,2.2638,3.416,245.43,0,0,10.1021/ie0003887
2-chloropropane~|~isopropyl chloride,1530,78.54,2.4151,3.6184,251.47,0,0,10.1021/ie0003887
ch2cl2~|~dichloromethane,1511,84.93,2.2632,3.338,274.2,0,0,10.1016/j.fluid.2006.07.006
"chloroprene~|~2-chloro-1,3-butadiene",1583,88.54,2.1489,3.8432,290.65,0,0,10.1016/j.fluid.2006.07.006
1-chlorobutane~|~n-butyl chloride,1586,92.57,2.8585,3.6424,258.66,0,0,10.1021/ie0003887
2-chlorobutane~|~sec-butyl chloride,1587,92.57,2.6874,3.7138,258.8,0,0,10.1016/j.fluid.2006.07.006
tert-butyl chloride~|~2-chloro-2-methylpropane,1535,92.57,2.425,3.8665,259.27,0,0,10.1016/j.fluid.2006.07.006
"dichloroethane~|~1,2-dichloroethane",1523,98.96,2.5964,3.4463,285.01,0,0,10.1016/j.fluid.2006.07.006
1-chloropentane,1588,106.59,2.7513,3.9027,284.31,0,0,10.1016/j.fluid.2006.07.006
chlorobenzene~|~monochlorobenzene,1571,112.56,2.6929,3.7367,312.11,0,0,10.1016/j.fluid.2006.07.006
chlorobenzene~|~monochlorobenzene,1571,112.56,2.6485,3.7533,315.04,0,0,10.1021/ie0003887
chcl3~|~chloroform~|~trichloromethane,1521,119.38,2.5038,3.4709,271.625,0,0,10.1016/S0378-3812(03)00363-7
"1,3-dichloro-t-2-butene~|~1,3-dichloro-trans-2-butene",1598,125.0,2.8316,3.7365,300.04,0,0,10.1016/j.fluid.2006.07.006
"1,4-dichloro-c-2-butene~|~1,4-dichloro-cis-2-butene",1593,125.0,3.2115,3.5775,297.27,0,0,10.1016/j.fluid.2006.07.006
"1,4-dichloro-t-2-butene~|~1,4-dichloro-trans-2-butene",1505,125.0,3.1752,3.5967,302.26,0,0,10.1016/j.fluid.2006.07.006
"3,4-dichloro-1-butene",1597,125.0,3.1083,3.6114,273.6,0,0,10.1016/j.fluid.2006.07.006
"1,2-dichlorobutane",1536,127.01,2.9616,3.7239,286.55,0,0,10.1016/j.fluid.2006.07.006
"1,4-dichlorobutane",1508,127.01,3.1317,3.6791,300.85,0,0,10.1016/j.fluid.2006.07.006
"2,3-dichlorobutane",1537,127.01,2.924,3.773,284.28,0,0,10.1016/j.fluid.2006.07.006
"1,1,1-trichloroethane",1527,133.4,2.4646,3.7558,279.13,0,0,10.1016/j.fluid.2006.07.006
1-bromobutane,1655,137.02,2.7452,3.7491,282.47,0,0,10.1016/j.fluid.2006.07.006
2-bromobutane,2638,137.02,3.1836,3.5234,253.14,0,0,10.1016/j.fluid.2006.07.006
"1,5-dichloropentane~|~1,5-dichloro-pentane",1509,141.04,3.6536,3.6703,291.04,0,0,10.1016/j.fluid.2006.07.006
"o-dichloro benzene~|~1,2-dichlorobenzene",1572,147.01,2.8409,3.847,338.4,0,0,10.1016/j.fluid.2006.07.006
ccl4~|~tetrachloromethane~|~carbon tetrachloride,1501,153.82,2.32521,3.8055,292.134,0,0,10.1016/S0378-3812(03)00363-7
bromobenzene,1680,157.01,2.6456,3.836,334.37,0,0,10.1021/ie0003887
bromobenzene,1680,157.01,2.5899,3.8534,338.55,0,0,10.1016/j.fluid.2006.07.006
p-bromotoluene~|~4-bromotoluene~|~1-bromo-4-methylbenzene,2661,171.03,3.3482,3.7082,308.97,0,0,10.1016/j.fluid.2006.07.006
1-bromoheptane,1667,179.1,3.9421,3.7907,273.68,0,0,10.1016/j.fluid.2006.07.006
iodobenzene,1691,204.01,2.7326,3.8793,352.85,0,0,10.1016/j.fluid.2006.07.006
1-bromonaphthalene,1697,207.07,3.6549,3.8328,358.2,0,0,10.1016/j.fluid.2006.07.006
"m-dibromobenzene~|~1,3-dibromobenzene",1678,235.9,2.8807,3.9138,363.31,0,0,10.1016/j.fluid.2006.07.006
dimethyl ether,1401,46.07,2.3071,3.2528,211.06,0,0,10.1021/ie0003887
methylvinylether~|~vinyl methyl ether,1470,58.08,2.7079,3.2431,215.05,0,0,10.1016/j.fluid.2006.07.006
diethyl ether,1402,74.12,2.9686,3.5147,220.09,0,0,10.1021/ie0003887
1-methoxypropane~|~methylpropyl ether~|~methyl-n-propylether~|~methyl n-propyl ether,1415,74.12,3.0087,3.4569,222.73,0,0,10.1021/ie0003887
1-methoxypropane~|~methylpropyl ether~|~methyl-n-propylether~|~methyl n-propyl ether,1415,74.12,3.1934,3.3897,215.43,0,0,10.1016/j.fluid.2006.07.006
"dioxane~|~p-dioxane~|~1,4-dioxane",1421,88.11,2.9724,3.3762,275.88,0,0,10.1016/j.fluid.2006.07.006
dipropyl ether~|~di-n-propylether,1446,102.17,3.493,3.6928,234.16,0,0,10.1016/j.fluid.2006.07.006
diisopropyl ether~|~di-isopropyl ether,1403,102.17,3.7102,3.4577,219.63,0,0,10.1021/ie0003887
1-methoxy-pentane~|~methyl pentyl ether~|~methyl-n-pentyl ether~|~methyl n-pentyl ether,1429,102.17,3.8886,3.5478,227.85,0,0,10.1016/j.fluid.2006.07.006
dibutyl ether~|~di-n-butylether,1404,130.23,4.62,3.6404,228.48,0,0,10.1016/j.fluid.2006.07.006
benzyl ethyl ether~|~(ethoxymethyl)-benzene,1460,136.19,4.0145,3.6513,277.75,0,0,10.1016/j.fluid.2006.07.006
diphenyl ether,1465,170.21,3.5961,4.0205,340.4,0,0,10.1016/j.fluid.2006.07.006
dibenzylether,1463,198.26,7.083,3.3098,258.77,0,0,10.1016/j.fluid.2006.07.006
r32~|~difluoromethane,1614,52.02,2.5229,2.7852,168.401,0,0,10.1016/j.fluid.2005.10.015
"r152a~|~difluoroethane~|~1,1-difluoroethane",1640,66.05,2.1772,3.3554,216.0,0,0,10.1021/ie049089y
r23~|~trifluoromethane,1615,70.01,2.9404,2.7213,141.13,0,0,10.1016/j.fluid.2005.10.015
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,1601,86.47,2.1012,3.3104,203.3215,0,0,10.1016/j.fluid.2005.10.015
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,1616,88.0,2.2474,3.106,120.36,0,0,10.1016/j.fluid.2006.07.006
re143a~|~hfe143m~|~trifluoromethoxymethane~|~trifluoromethyl methyl ether,,100.4,2.8808,3.2403,181.69,0,0,10.1039/B312223A
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",1630,102.03,1.9793,3.1418,189.14,0,0,10.1016/j.fluid.2005.10.015
r116~|~perfluoroethane~|~hexafluoroethane,2693,138.01,2.7543,3.3459,141.69,0,0,10.1016/j.fluid.2006.07.006
pentafluoroethylmethylether~|~methyl pentafluoroethyl ether,,150.05,3.565,3.3342,177.02,0,0,10.1039/B312223A
perfluorobenzene~|~hexafluorobenzene,1864,186.05,3.2897,3.5601,239.92,0,0,10.1016/j.fluid.2006.07.006
r218~|~perfluoropropane~|~octafluoropropane,2652,188.02,3.4547,3.3031,154.2,0,0,10.1016/j.fluid.2006.07.006
rc318~|~octafluorocyclobutane,2654,200.03,3.7354,3.3674,164.66,0,0,10.1016/j.fluid.2006.07.006
re347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether,,200.06,4.7413,3.2622,171.44,0,0,10.1039/B312223A
perfluorotoluene~|~octafluorotoluene,,236.06,4.4079,3.449,215.95,0,0,10.1016/j.fluid.2006.07.006
perfluorobutane~|~decafluorobutane~|~n-perfluorobutane,1622,238.03,3.8326,3.5361,162.28,0,0,10.1016/j.fluid.2006.07.006
"1-methoxy-nonafluorobutane~|~nonafluorobutyl methyl ether~|~methyl nonafluoro-n-butyl ether~|~1,1,1,2,2,3,3,4,4-nonafluoro-5-oxahexane",,250.07,6.9892,3.036,163.98,0,0,10.1039/B312223A
perfluorohexane~|~n-perfluorohexane~|~perfluoro-n-hexane,,338.04,4.9669,3.6172,171.45,0,0,10.1016/j.fluid.2006.07.006
"nonafluorobutyl ethyl ether~|~1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",,364.1,7.1779,3.1467,168.62,0,0,10.1039/B312223A
1h-perfluorooctane~|~1h-perfluoro-n-octane,,420.07,5.3504,3.8249,195.41,0,0,10.1016/j.fluid.2006.07.006
perfluorodecalin,,462.08,2.2527,3.4135,341.35,0,0,10.1016/j.fluid.2006.07.006
perfluorononane~|~perfluoro-n-nonane~|~eicosafluorononane,,488.06,5.9846,3.8425,188.62,0,0,10.1016/j.fluid.2006.07.006
1-bromoperfluorooctane~|~1br-perfluoro-n-octane,,498.96,4.4272,4.2492,229.97,0,0,10.1016/j.fluid.2006.07.006
acetonitrile,1772,41.05,2.329,3.1898,311.31,0,1,10.1021/ie049893k
nitromethane,1760,61.04,2.5325,3.1174,314.19,0,0,10.1016/j.fluid.2006.07.006
nitroethane,1761,75.07,2.9556,3.2322,290.55,0,0,10.1016/j.fluid.2006.07.006
1-nitropropane,1762,89.09,3.1377,3.4066,289.01,0,0,10.1016/j.fluid.2006.07.006
2-nitropropane,1763,89.09,3.1019,3.4243,281.65,0,0,10.1016/j.fluid.2006.07.006
nitrobenzene,1886,123.11,3.1442,3.6415,344.88,0,0,10.1016/j.fluid.2006.07.006
3-nitrotoluene~|~m-nitrotoluene,1780,137.14,3.5459,3.6719,331.95,0,0,10.1016/j.fluid.2006.07.006
2-nitrotoluene~|~o-nitrotoluene,1778,137.14,3.9917,3.5014,306.03,0,0,10.1016/j.fluid.2006.07.006
tetranitromethane,1768,151.04,4.0979,3.2294,290.53,0,0,10.1016/j.fluid.2006.07.006
"m-dinitrobenzene~|~1,3-dinitrobenzene",2740,168.11,6.0678,3.0025,293.97,0,0,10.1016/j.fluid.2006.07.006
o-dinitrobenzene,2741,168.11,6.2837,3.0511,297.61,0,0,10.1016/j.fluid.2006.07.006
"p-dinitrobenzene~|~1,4-dinitrobenzene",2742,168.11,6.4161,3.0433,283.69,0,0,10.1016/j.fluid.2006.07.006
methylformate~|~methyl methanoate,1301,60.05,2.6784,3.0875,242.63,0,0,10.1021/ie0003887
ethylformate~|~ethyl methanoate,1302,74.08,2.8876,3.3109,246.47,0,0,10.1021/ie0003887
methylacetate~|~methyl ethanoate,1312,74.08,3.1421,3.1888,235.75,0,0,10.1021/ie034258k
vinyl acetate,1321,86.09,3.4674,3.2482,231.45,0,0,10.1016/j.fluid.2006.07.006
methylacrylate~|~methyl propenoate,1341,86.09,3.1365,3.3462,250.65,0,0,10.1016/j.fluid.2006.07.006
ethylacetate~|~ethyl ethanoate,1313,88.11,3.6,3.2719,228.92,0,0,10.1016/j.fluid.2006.07.006
ethylacetate~|~ethyl ethanoate,1313,88.11,3.5375,3.3079,230.8,0,0,10.1021/ie0003887
methylpropionate~|~methyl propanoate,1322,88.11,3.4793,3.3142,234.96,0,0,10.1021/ie0003887
propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate,1322,88.11,3.2088,3.4168,246.46,0,0,10.1021/ie0003887
propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate,1303,88.11,3.2858,3.3803,243.42,0,0,10.1016/j.fluid.2006.07.006
allyl acetate~|~aceticacid-2-propenylester,1318,100.12,3.334,3.5146,254.64,0,0,10.1016/j.fluid.2006.07.006
vinyl propionate~|~vinyl propanoate~|~propanoicacidethenylester,1331,100.12,3.8051,3.3433,232.13,0,0,10.1016/j.fluid.2006.07.006
methyl methacrylate,1351,100.12,3.2385,3.5269,257.06,0,0,10.1016/j.fluid.2006.07.006
propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,1314,102.13,3.7861,3.4227,235.76,0,0,10.1021/ie0003887
isopropylacetate~|~1-methylethyl ethanoate,1319,102.13,3.6084,3.4818,231.91,0,0,10.1016/j.fluid.2006.07.006
ethylpropionate~|~ethyl propanoate,1323,102.13,3.3837,3.4031,232.78,0,0,10.1021/ie0003887
methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,1332,102.13,3.6758,3.4437,240.62,0,0,10.1021/ie0003887
methyl isobutyrate~|~methyl 2-methylpropanoate~|~2-methylpropanoicacidmethylester,2332,102.13,3.6605,3.444,234.109,0,0,10.1021/ie034258k
butylformate~|~n-butyl formate~|~butyl methanoate~|~n-butylmethanoate,1304,102.13,3.6969,3.4388,241.79,0,0,10.1016/j.fluid.2006.07.006
sec-butyl formate~|~1-methylpropyl methanoate~|~formicacid-1-methylpropylester,2305,102.13,3.7042,3.4274,233.07,0,0,10.1016/j.fluid.2006.07.006
tert-butylformate,2306,102.13,3.2023,3.6341,243.32,0,0,10.1016/j.fluid.2006.07.006
n-propyl acrylate~|~2-propenoicacidpropylester,1343,114.14,4.2864,3.3799,230.53,0,0,10.1016/j.fluid.2006.07.006
butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,1315,116.16,3.9808,3.5427,242.52,0,0,10.1021/ie0003887
isobutyl acetate~|~2-methylpropyl ethanoate~|~aceticacid-2-methylpropylester,1316,116.16,4.2012,3.4519,229.69,0,0,10.1016/j.fluid.2006.07.006
sec-butylacetate~|~1-methylpropyl ethanoate,1320,116.16,4.1424,3.4735,228.31,0,0,10.1016/j.fluid.2006.07.006
propylpropionate~|~propyl propanoate~|~n-propyl propanoate~|~n-propyl propionate,1324,116.16,4.1155,3.4875,235.6,0,0,10.1021/ie0003887
hexanoicacid~|~n-hexanoicacid~|~n-pentyl formate,1306,116.16,4.0048,3.5391,245.57,0,0,10.1016/j.fluid.2006.07.006
"tert-butylacetate~|~1,1-dimethylethyl ethanoate",2321,116.16,3.9416,3.5064,225.11,0,0,10.1016/j.fluid.2006.07.006
