Clapeyron Database File,,,,,,,,
ethyl isobutyrate~|~ethyl 2-methylpropanoate~|~2-methylpropanoicacidethylester,2337,116.16,3.966,3.5351,232.1,0,0,10.1016/j.fluid.2006.07.006
cyclohexyl formate~|~cyclohexyl methanoate~|~formicacidcyclohexylester,2311,128.17,3.4949,3.7095,285.26,0,0,10.1016/j.fluid.2006.07.006
n-butyl acrylate~|~butyl 2-propenoate~|~2-propenoicacidbutylester,1344,128.17,3.9771,3.6645,253.9,0,0,10.1016/j.fluid.2006.07.006
isobutyl acrylate~|~2-methylpropyl 2-propenoate~|~2-propenoicacid-2-methylpropylester,2384,128.17,4.3238,3.5334,237.54,0,0,10.1016/j.fluid.2006.07.006
propylmethacrylate~|~n-propyl methacrylate,1353,128.17,3.9401,3.6466,252.04,0,0,10.1016/j.fluid.2006.07.006
isoamylacetate~|~isopentyl acetate~|~3-methylbutyl ethanoate,1317,130.18,4.179,3.6303,244.76,0,0,10.1016/j.fluid.2006.07.006
pentylacetate~|~n-pentylacetate~|~pentyl ethanoate,1357,130.18,4.7077,3.4729,234.57,0,0,10.1016/j.fluid.2006.07.006
n-hexyl formate~|~hexyl methanoate~|~formicacidhexylester,2307,130.18,4.6713,3.4747,239.13,0,0,10.1016/j.fluid.2006.07.006
propylbutyrate~|~n-propylbutyrate~|~propyl butanoate~|~n-propylbutanoate~|~n-propyl n-butyrate,1327,130.18,4.1319,3.6474,245.9,0,0,10.1016/j.fluid.2006.07.006
n-propyl isobutyrate~|~n-propyl n-isobutyrate~|~2-methyl-propanoicacidpropylester,1336,130.18,4.0428,3.68,243.56,0,0,10.1016/j.fluid.2006.07.006
ethyl isovalerate~|~3-methylbutanoicacidethylester,1347,130.18,4.4745,3.5526,230.77,0,0,10.1016/j.fluid.2006.07.006
benzylformate,2350,136.15,4.0732,3.5237,290.32,0,0,10.1016/j.fluid.2006.07.006
methyl benzoate,1390,136.15,3.6922,3.6377,303.46,0,0,10.1016/j.fluid.2006.07.006
cyclohexyl acetate~|~cyclohexyl ethanoate~|~aceticacidcyclohexylester,2364,142.2,4.2248,3.6151,263.35,0,0,10.1016/j.fluid.2006.07.006
n-butyl methacrylate~|~butyl 2-methyl-2-propenoate~|~2-methyl-2-propenoicacidbutylester,1389,142.2,4.5525,3.6067,244.68,0,0,10.1016/j.fluid.2006.07.006
isobutylmethacrylate,1388,142.2,4.0377,3.7721,254.81,0,0,10.1016/j.fluid.2006.07.006
dimethylmaleate,2387,144.13,5.0101,3.2679,262.83,0,0,10.1016/j.fluid.2006.07.006
isobutylisobutyrate~|~2-methylpropyl 2-methylpropanoate,1360,144.21,4.3798,3.7321,239.135,0,0,10.1021/ie034258k
hexylacetate~|~n-hexylacetate~|~hexyl ethanoate,1363,144.21,4.8447,3.5834,241.42,0,0,10.1016/j.fluid.2006.07.006
n-heptyl formate~|~heptyl methanoate~|~formicacidheptylester,2308,144.21,4.1488,3.7096,256.39,0,0,10.1016/j.fluid.2006.07.006
butylbutyrate~|~butyl butanoate~|~n-butyl n-butyrate,1385,144.21,4.4071,3.7006,249.14,0,0,10.1016/j.fluid.2006.07.006
benzyl acetate~|~benzyl ethanoate~|~aceticacidphenylmethylester,1359,150.17,4.3419,3.6165,283.7,0,0,10.1016/j.fluid.2006.07.006
heptyl acetate~|~n-heptyl acetate~|~heptyl ethanoate~|~aceticacidheptylester,1367,158.24,5.3796,3.5874,239.08,0,0,10.1016/j.fluid.2006.07.006
n-octyl formate~|~octyl methanoate~|~formicacidoctylester,1308,158.24,4.1067,3.9853,279.89,0,0,10.1016/j.fluid.2006.07.006
n-butyl valerate~|~pentanoicacidbutylester,1346,158.24,5.4038,3.5643,235.66,0,0,10.1016/j.fluid.2006.07.006
"diethylmalonate~|~diethyl 1,3-propanedioate",1394,160.17,5.309,3.4069,247.8,0,0,10.1016/j.fluid.2006.07.006
propyl benzoate~|~n-propyl benzoate~|~benzoicacidpropylester,2392,164.2,4.6655,3.653,281.56,0,0,10.1016/j.fluid.2006.07.006
diethylmaleate,2386,172.18,5.3643,3.5877,257.45,0,0,10.1016/j.fluid.2006.07.006
"ethylhexyl acetate~|~2-ethylhexyl acetate~|~aceticacid-2-ethylhexylester~|~1-hexanol, 2-ethyl-, acetate",1358,172.26,5.9074,3.5313,231.85,0,0,10.1016/j.fluid.2006.07.006
n-octyl acetate~|~octyl ethanoate~|~aceticacidoctylester,1368,172.26,5.9596,3.5603,236.43,0,0,10.1016/j.fluid.2006.07.006
isopentyl isovalerate~|~3-methylbutyl 3-methylbutanoate~|~3-methyl-butanoicacid-3-methylbutylester,1361,172.26,4.7649,3.8179,252.55,0,0,10.1016/j.fluid.2006.07.006
nonyl-formate~|~n-nonyl-formate~|~n-nonyl formate,1309,172.27,5.6297,3.6378,243.93,0,0,10.1016/j.fluid.2006.07.006
ethylsuccinate~|~diethyl succinate~|~diethyl butanedioate,2378,174.19,6.2233,3.3197,238.21,0,0,10.1016/j.fluid.2006.07.006
"butyl benzoate~|~n-butyl benzoate~|~benzoicacidbutylester~|~benzoic acid, butyl ester",1365,178.23,4.9127,3.7073,283.08,0,0,10.1016/j.fluid.2006.07.006
2-ethylhexyl acrylate~|~2-ethylhexyl 2-propenoate~|~2-propenoicacid-2-ethylhexylester,1386,184.28,5.7355,3.6697,242.08,0,0,10.1016/j.fluid.2006.07.006
n-nonyl acetate~|~aceticacidnonylester,1369,186.29,6.8356,3.495,227.63,0,0,10.1016/j.fluid.2006.07.006
methyl decanoate~|~decanoicacidmethylester,1395,186.29,6.0382,3.648,244.17,0,0,10.1016/j.fluid.2006.07.006
n-decyl formate~|~formicaciddecylester,1310,186.3,6.2919,3.5897,240.31,0,0,10.1016/j.fluid.2006.07.006
"dimethylphthalate~|~dimethyl 1,2-benzenedicarboxylate",2377,194.18,5.6798,3.4496,284.56,0,0,10.1016/j.fluid.2006.07.006
"dimethyl isophthalate~|~dimethyl 1,3-benzenedicarboxylate~|~1,3-benzenedicarboxylicaciddimethylester",1377,194.18,3.7729,3.9445,347.75,0,0,10.1016/j.fluid.2006.07.006
"dimethyl terephthalate~|~dimethyl 1,4-benzenedicarboxylate~|~1,4-benzenedicarboxylicaciddimethylester",1381,194.18,4.4909,3.7491,320.95,0,0,10.1016/j.fluid.2006.07.006
diallylmaleate,2381,196.2,7.3289,3.2317,235.29,0,0,10.1016/j.fluid.2006.07.006
dipropylmaleate,2388,200.23,7.2628,3.1371,235.22,0,0,10.1016/j.fluid.2006.07.006
decyl acetate~|~n-decyl acetate~|~aceticaciddecylester,1370,200.32,6.8956,3.5745,234.94,0,0,10.1016/j.fluid.2006.07.006
benzyl benzoate~|~benzoicacidphenylmethylester,1364,212.24,5.7986,3.6609,299.33,0,0,10.1016/j.fluid.2006.07.006
butylnonanoate~|~n-butyl nonanoate,1345,214.34,7.8355,3.4778,215.5,0,0,10.1016/j.fluid.2006.07.006
methyl dodecanoate~|~dodecanoicacidmethylester,2385,214.34,6.1495,3.6422,260.31,0,0,10.1016/j.fluid.2006.07.006
isopropyl myristate~|~isopropylbutadecanoate~|~1-methylethyl tetradecanoate,1396,214.34,8.0669,3.8004,245.69,0,0,10.1016/j.fluid.2006.07.006
"diethylphthalate~|~diethyl 1,2-benzenedioate",2375,222.24,6.8389,3.4744,262.72,0,0,10.1016/j.fluid.2006.07.006
dibutyl maleate~|~(z)-2-butenedioicaciddibutylester,2382,228.28,8.2638,3.3552,234.78,0,0,10.1016/j.fluid.2006.07.006
dipropylphthalate~|~di-n-propyl phthalate,1375,250.29,6.9781,3.6095,268.8,0,0,10.1016/j.fluid.2006.07.006
"dibutylphthalate~|~di-n-butyl phthalate~|~dibutyl 1,2-benzenedicarboxylate",2376,278.34,7.7283,3.6571,265.37,0,0,10.1016/j.fluid.2006.07.006
methyloleate~|~methyl cis-9-octadecenoate,1362,296.49,9.6659,3.6507,240.45,0,0,10.1016/j.fluid.2006.07.006
dibutyl sebacate~|~dibutyl decanedioate~|~decanedioicaciddibutylester,1384,314.46,10.2719,3.5908,237.05,0,0,10.1016/j.fluid.2006.07.006
dihexyl adipate~|~hexanedioicaciddihexylester,2379,314.46,10.5322,3.5584,234.09,0,0,10.1016/j.fluid.2006.07.006
n-butyl stearate~|~octadecanoicacidbutylester,1383,340.58,9.789,3.8554,238.32,0,0,10.1016/j.fluid.2006.07.006
di(2-ethyl hexyl)adipate~|~hexanedioicacid-bis(2-ethylhexyl)ester,3379,370.57,9.8744,3.9007,264.12,0,0,10.1016/j.fluid.2006.07.006
acetone~|~propanone,1051,58.08,2.77409,3.2557,253.406,0,0,10.1016/S0378-3812(03)00363-7
beta-propiolactone,1091,72.06,2.9031,3.1538,336.84,0,0,10.1016/j.fluid.2006.07.006
butanone~|~2-butanone~|~methyl ethyl ketone,1052,72.11,2.9093,3.4473,260.07,0,0,10.1016/S0378-3812(03)00363-7
isobutanal~|~2-methylpropanal,1006,72.11,3.5582,3.2003,222.71,0,0,10.1016/j.fluid.2006.07.006
diketene~|~4-methylene-2-oxetanone,1099,84.07,3.8331,3.027,258.6,0,0,10.1016/j.fluid.2006.07.006
cyclopentanone,1079,84.12,2.8092,3.5344,307.24,0,0,10.1016/j.fluid.2006.07.006
3-pentanone~|~pentan-3-one~|~diethylketone,1053,86.13,3.35652,3.4778,252.726,0,0,10.1016/S0378-3812(03)00363-7
4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,1054,100.16,3.3628,3.6799,259.89,0,0,10.1016/j.fluid.2006.07.006
acetic anhydride~|~ethanoic anhydride,1291,102.09,4.2175,3.1329,250.93,0,0,10.1016/j.fluid.2006.07.006
benzaldehyde,1041,106.12,3.1474,3.576,321.19,0,0,10.1016/j.fluid.2006.07.006
caprolactam~|~epsilon-caprolactam~|~1-aza-2-cycloheptanone,1880,113.16,4.30008,3.3014,330.112,0,0,10.1021/ie034082m
glutaric anhydride,1296,114.1,4.1265,3.1949,353.59,0,0,10.1016/j.fluid.2006.07.006
2-heptanone,1063,114.19,3.7965,3.6415,259.346,0,0,10.1021/ie034258k
"diisopropyl ketone~|~di-isopropyl ketone~|~2,4-dimethyl-3-pentanone",1069,114.19,3.70638,3.5532,251.843,0,0,10.1016/S0378-3812(03)00363-7
2-methylhexanal,1016,114.19,4.429,3.4976,238.15,0,0,10.1016/j.fluid.2006.07.006
p-tolualdehyde~|~4-methylbenzaldehyde,1040,120.15,4.1695,3.4261,289.34,0,0,10.1016/j.fluid.2006.07.006
2-ethyl-hexanal~|~2-ethyl hexanal,1013,128.21,4.8693,3.5037,236.37,0,0,10.1016/j.fluid.2006.07.006
propionic anhydride~|~propanoic anhydride,1292,130.14,4.8138,3.322,244.8,0,0,10.1016/j.fluid.2006.07.006
"terephthaldehyde~|~1,4-benzenedicarboxaldehyde",1044,134.13,5.157,3.1091,286.91,0,0,10.1016/j.fluid.2006.07.006
"isophorone~|~3,5,5-trimethyl-2-cyclohexen-1-one",1077,138.21,3.2635,4.0318,328.86,0,0,10.1016/j.fluid.2006.07.006
"diisobutyl ketone~|~2,6-dimethyl-4-heptanone",1068,142.24,4.6179,3.7032,243.72,0,0,10.1016/j.fluid.2004.06.031
camphor,2850,152.23,3.7441,3.8866,301.73,0,0,10.1016/j.fluid.2006.07.006
butyric anhydride,1293,158.19,5.2497,3.5274,246.88,0,0,10.1016/j.fluid.2006.07.006
hydrogen sulfide,1922,34.08,1.6941,3.0214,226.79,0,0,10.1016/j.fluid.2006.07.006
carbon sulfide~|~carbon monosulfide,1893,44.08,1.5799,3.4631,240.33,0,0,10.1016/j.fluid.2006.07.006
2-thiapropane~|~dimethylsulfide,1820,62.14,2.1985,3.4975,273.25,0,0,10.1016/j.fluid.2006.07.006
cs2~|~carbon disulfide,1938,76.14,1.7072,3.6171,333.44,0,0,10.1016/j.fluid.2006.07.006
2-thiabutane~|~(methylthio)-ethane~|~methyl ethyl sulfide,1813,76.16,2.5289,3.6109,271.4,0,0,10.1016/j.fluid.2006.07.006
3-thiapentane~|~diethylsulfide,1818,90.19,2.9078,3.6599,266.25,0,0,10.1016/j.fluid.2006.07.006
2-thiapentane~|~methylpropyl sulfide~|~1-(methylthio)-propane~|~methyl-n-propyl sulfide~|~methyl n-propyl sulfide,1814,90.19,2.9283,3.6524,267.83,0,0,10.1016/j.fluid.2006.07.006
"2,3-dithiabutane~|~dimethyldisulfide",1828,94.2,2.643,3.5836,300.67,0,0,10.1016/j.fluid.2006.07.006
2-thiahexane~|~methylbutyl sulfide~|~1-(methylthio)butane~|~methyl-n-butyl sulfide~|~methyl n-butyl sulfide,2815,104.21,3.2429,3.7186,270.11,0,0,10.1016/j.fluid.2006.07.006
"methyl t-butyl sulfide~|~3,3-dimethyl-2-thiabutane~|~methyl-tert-butylthioether~|~2-methyl-2-(methylthio)-propane~|~methyl-t-butyl sulfide",1815,104.21,2.8002,3.909,273.18,0,0,10.1016/j.fluid.2006.07.006
"4-thiaheptane~|~dipropyl sulfide~|~1,1'-thiobispropane~|~di-n-propyl sulfide",1817,118.24,3.5494,3.7766,267.42,0,0,10.1016/j.fluid.2006.07.006
"ethyl-t-butyl sulfide~|~ethyl t-butyl sulfide~|~2,2-dimethyl-3-thiapentane~|~2-(ethylthio)-2-methylpropane",2816,118.24,3.1483,3.9335,268.45,0,0,10.1016/j.fluid.2006.07.006
methyl-t-pentyl sulfide~|~methyl t-pentyl sulfide~|~2-methyl-2-(methylthio)-butane,1816,118.24,2.965,4.0306,299.81,0,0,10.1016/j.fluid.2006.07.006
"diethyldisulfide~|~3,4-dithiahexane",1824,122.25,3.1372,3.7905,297.77,0,0,10.1016/j.fluid.2006.07.006
"4,5-dithiaoctane~|~dipropyldisulfide~|~di-n-propyl disulfide",1829,150.31,3.9145,3.8224,285.78,0,0,10.1016/j.fluid.2006.07.006
silane,1982,32.12,1.2356,3.8939,191.99,0,0,10.1016/j.fluid.2006.07.006
methylsilane,3984,46.14,1.9149,3.6541,198.36,0,0,10.1016/j.fluid.2006.07.006
dimethylsilane,3985,60.17,1.7821,4.0532,241.95,0,0,10.1016/j.fluid.2006.07.006
disilane,1980,62.22,1.4751,4.0212,284.0,0,0,10.1016/j.fluid.2006.07.006
trimethylsilane,3986,74.2,2.2372,3.9955,230.66,0,0,10.1016/j.fluid.2006.07.006
methyl chlorosilane,3935,80.6,2.0443,3.7866,251.97,0,0,10.1016/j.fluid.2006.07.006
tetramethylsilane,1984,88.22,2.744,3.915,217.89,0,0,10.1016/j.fluid.2006.07.006
dimethylchlorosilane,3987,94.62,2.5167,3.7771,240.78,0,0,10.1016/j.fluid.2006.07.006
dichlorosilane,1935,101.01,2.0805,3.6551,251.49,0,0,10.1016/j.fluid.2006.07.006
trimethylchlorosilane~|~chlorotrimethylsilane,3988,108.64,2.9076,3.8116,235.77,0,0,10.1016/j.fluid.2006.07.006
dichloromethylsilane~|~methyl dichlorosilane,3936,115.03,2.439,3.7565,251.73,0,0,10.1016/j.fluid.2006.07.006
dichlorodimethylsilane~|~dimethyl dichlorosilane,3989,129.06,3.0756,3.6923,238.85,0,0,10.1016/j.fluid.2006.07.006
trichlorosilane,1936,135.45,2.4885,3.6894,241.65,0,0,10.1016/j.fluid.2006.07.006
tetraethylsilane,2994,144.33,3.7427,4.0716,259.04,0,0,10.1016/j.fluid.2006.07.006
trichloromethylsilane~|~methyl trichlorosilane,3937,149.48,2.6034,3.8815,259.26,0,0,10.1016/j.fluid.2006.07.006
hexamethyl disilazane,1964,161.39,4.4767,3.9173,219.01,0,0,10.1016/j.fluid.2006.07.006
mm~|~hexamethyldisiloxane,1965,162.38,4.053,4.0466,214.19,0,0,10.1016/j.fluid.2006.07.006
tetrachlorosilane,1937,169.9,2.7298,3.768,246.27,0,0,10.1016/j.fluid.2006.07.006
thiophene,1821,84.14,2.4013,3.5401,299.01,0,0,10.1016/j.fluid.2006.07.006
tetrahydrothiophene,1843,88.17,2.3554,3.6959,333.18,0,0,10.1016/j.fluid.2006.07.006
methylthiophene~|~3-methyl thiophene,2845,98.17,2.7257,3.6314,298.37,0,0,10.1016/j.fluid.2006.07.006
2-methylthiophene,2844,98.17,2.7094,3.652,296.78,0,0,10.1016/j.fluid.2006.07.006
sulfolane,1845,120.17,3.3306,3.5058,393.88,0,0,10.1016/j.fluid.2006.07.006
3-methyl sulfolane,1847,134.2,3.9202,3.4896,348.53,0,0,10.1016/j.fluid.2006.07.006
benzo thiophene~|~benzo(b)thiophene~|~benzo[b]thiophene,1822,134.2,2.9313,3.836,363.28,0,0,10.1016/j.fluid.2006.07.006
di-n-propyl sulfone,1848,150.24,5.367,3.3672,288.28,0,0,10.1016/j.fluid.2006.07.006
di-n-butyl sulfone,1849,178.29,6.32,3.4062,273.93,0,0,10.1016/j.fluid.2006.07.006
dibenzothiophene,2823,184.26,3.7015,3.9596,386.77,0,0,10.1016/j.fluid.2006.07.006
tetrachloro thiophene,4877,221.92,4.1136,3.5422,308.43,0,0,10.1016/j.fluid.2006.07.006
2-propanethiol~|~2-propyl mercaptan~|~isopropyl mercaptan,1810,76.16,2.4302,3.6762,264.82,0,0,10.1016/j.fluid.2006.07.006
1-propanethiol~|~propyl mercaptan~|~n-propyl mercaptan,1803,76.16,2.4564,3.654,276.82,0,0,10.1016/j.fluid.2006.07.006
butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan,1841,90.19,2.7253,3.7499,281.41,0,0,10.1016/j.fluid.2006.07.006
isobutyl mercaptan~|~2-methyl-1-propanethiol,1805,90.19,2.6846,3.7706,275.51,0,0,10.1016/j.fluid.2006.07.006
1-pentanethiol~|~pentyl mercaptan~|~n-pentyl mercaptan,1827,104.21,3.1788,3.7578,275.26,0,0,10.1016/j.fluid.2006.07.006
benzenethiol~|~phenyl mercaptan,1842,110.18,3.2933,3.5183,307.03,0,0,10.1016/j.fluid.2006.07.006
cyclohexanethiol~|~cyclohexyl mercaptan,1811,116.23,2.7597,3.961,323.53,0,0,10.1016/j.fluid.2006.07.006
1-hexanethiol~|~hexyl mercaptan~|~n-hexyl mercaptan,1807,118.24,3.4471,3.8209,278.9,0,0,10.1016/j.fluid.2006.07.006
benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene,1812,124.2,3.5557,3.6078,307.93,0,0,10.1016/j.fluid.2006.07.006
1-heptanethiol~|~heptyl mercaptan~|~n-heptyl mercaptan,1839,132.27,3.833,3.8372,276.75,0,0,10.1016/j.fluid.2006.07.006
1-octanethiol~|~octyl mercaptan~|~n-octyl mercaptan,1809,146.29,4.1432,3.8728,277.22,0,0,10.1016/j.fluid.2006.07.006
1-nonanethiol~|~nonyl mercaptan~|~n-nonyl mercaptan,1808,160.32,4.6257,3.8494,272.37,0,0,10.1016/j.fluid.2006.07.006
1-decanethiol~|~decyl mercaptan~|~n-decyl mercaptan,1826,174.35,5.0016,3.8442,271.7,0,0,10.1016/j.fluid.2006.07.006
hydrogen,902,2.02,1.0,2.986,19.2775,0,0,10.1016/S0378-3812(03)00147-X
carbon monoxide,908,28.01,1.3097,3.2507,92.15,0,0,10.1021/ie0003887
nitrogen,905,28.01,1.2053,3.313,90.96,0,0,10.1021/ie0003887
oxygen,901,32.0,1.1217,3.2098,114.96,0,0,10.1016/j.fluid.2006.07.006
argon,914,39.95,0.9285,3.4784,122.23,0,0,10.1021/ie0003887
carbon dioxide,909,44.01,2.0729,2.7852,169.21,0,0,10.1021/ie0003887
sulfur dioxide,910,64.07,2.8611,2.6826,205.35,0,0,10.1021/ie0003887
cl2~|~chlorine,918,70.91,1.5514,3.3672,265.67,0,0,10.1021/ie0003887
cs2~|~carbon disulfide,1938,76.14,1.7173,3.6107,332.23,0,0,10.1016/j.fluid.2006.07.006
cs2~|~carbon disulfide,1938,76.14,1.6919,3.6172,334.82,0,0,10.1021/ie0003887
krypton,920,83.8,0.961,3.6634,167.26,0,0,10.1016/j.fluid.2006.07.006
xenon,959,131.29,0.9025,4.0892,239.69,0,0,10.1016/j.fluid.2006.07.006
methanol,,32.042,1.5255,3.23,188.9,1,1,10.1021/ie010954d
ethanol,,46.069,2.3827,3.1771,198.24,1,1,10.1021/ie010954d
propanol~|~1-propanol~|~propan-1-ol,,60.096,2.9997,3.2522,233.4,1,1,10.1021/ie010954d
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,,74.123,2.7515,3.6139,259.59,1,1,10.1021/ie010954d
1-pentanol~|~pentan-1-ol,,88.15,3.626,3.4508,247.28,1,1,10.1021/ie010954d
1-hexanol~|~hexan-1-ol,,102.177,3.5146,3.6735,262.32,1,1,10.1021/ie010954d
1-heptanol~|~heptan-1-ol,,116.203,4.3985,3.545,253.46,1,1,10.1021/ie010954d
1-octanol~|~octan-1-ol,,130.23,4.3555,3.7145,262.74,1,1,10.1021/ie010954d
1-nonanol~|~nonan-1-ol,,144.257,4.6839,3.7292,263.64,1,1,10.1021/ie010954d
2-propanol~|~propan-2-ol~|~isopropanol,,60.096,3.0929,3.2085,208.42,1,1,10.1021/ie010954d
2-methyl-2-butanol~|~2-methylbutan-2-ol,,88.15,2.5487,3.9053,266.01,1,1,10.1021/ie010954d
water,,18.01528,1.0656,3.0007,366.51,1,1,10.1021/ie010954d
methylamine~|~methanamine,,31.06,2.3967,2.8906,214.94,1,1,10.1021/ie010954d
ethylamine~|~ethanamine,,45.09,2.7046,3.1343,221.53,1,1,10.1021/ie010954d
propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,,59.11,2.4539,3.5347,250.52,1,1,10.1021/ie010954d
2-propylamine~|~2-propanamine~|~isopropylamine,,59.11,2.5908,3.4777,231.8,1,1,10.1021/ie010954d
aniline,,93.13,2.6607,3.7021,335.47,1,1,10.1021/ie010954d
acetic acid,,60.053,1.3403,3.8582,211.59,1,1,10.1021/ie010954d
paracetamol~|~acetaminophen,,151.16,2.1973,4.2153,397.27,2,2,
thymol~|~3-methyl-6-isopropylphenol~|~1-methyl-3-hydroxy-5-isopropyl benzene,,150.22,2.9006,4.1957,250.407,1,1,
1-decanol~|~decan-1-ol,,158.28,4.8225,3.8281,267.4,1,1,
menthol,,156.27,3.038,4.2442,217.551,1,1,
PEG200,,200.,10.12,2.8999,204.6,2,2,
PEG2530,,2530.,128.018,2.8999,204.6,2,2,
lj,,1.0,1.0,1.0,1.0,0,0,
ammonia,,17.031,3.061,2.1547,134.99,1,1,10.1016/j.fluid.2024.114125
