Clapeyron Estimator,,
[method = sat_p_rl],,
T,out_p,out_rl
228.09615, 830117.9035030055, 25.810310321953644
248.5693174058258, 1.7055560195446035e6, 23.91298766193481
253.89072457262154, 2.0149841310461708e6, 23.366870207170845
257.6235668938839, 2.255270568305197e6, 22.965989436279127
260.59527747712895, 2.4610375267911516e6, 22.634721367148057
263.1047738162475, 2.645220674347432e6, 22.345557069262338
265.2983640936258, 2.814309197307475e6, 22.084959183113874
267.2599103407235, 2.9720977627861192e6, 21.84512948325821
269.0424848116516, 3.121029245517633e6, 21.62110752807733
270.6820543274918, 3.2627843055536747e6, 21.409512634149607
272.2042520739412, 3.3985770927481707e6, 21.207919678720764
273.62806670144926, 3.529318265130146e6, 21.01451821869947
274.9680026392549, 3.655711479698012e6, 20.82791238873745
276.2354186888322, 3.778313769185218e6, 20.64699659083099
277.43939604631555, 3.8975750496055097e6, 20.470874641687995
278.58732265603663, 4.013864941910454e6, 20.298805137890344
279.6852991452431, 4.127491552377977e6, 20.130163313181342
280.7384284530641, 4.238714972905167e6, 19.964413636761105
281.75102729101604, 4.347757208266708e6, 19.801089612421983
282.726783660266, 4.454809621752366e6, 19.63977852165441
283.66887627387024, 4.560038617606421e6, 19.48010962606224
284.5800665230308, 4.663590045397464e6, 19.321744823504517
285.46277029421583, 4.765592661386223e6, 19.164371057227793
286.3191147584014, 4.866160883016727e6, 19.00769397516845
287.1509837877678, 4.965397005962248e6, 18.851432466878514
287.96005465203615, 5.0633930073061045e6, 18.69531379174681
288.7478279476049, 5.160232026352307e6, 18.539069068804764
289.51565221747745, 5.255989591753738e6, 18.382428934396717
290.2647443638949, 5.350734647208273e6, 18.225119194885057
290.9962066960017, 5.444530415989408e6, 18.066856310573147
291.711041263217, 5.537435135768326e6, 17.907342545613016
292.41016198183127, 5.629502688678843e6, 17.74626060665492
293.09440495425787, 5.720783146788744e6, 17.583267568317105
293.76453729793786, 5.8113232496703025e6, 17.417987841402432
294.4212647374428, 5.901166828341677e6, 17.250004870982348
295.0652381640479, 5.990355188308883e6, 17.078851139356495
295.69705932847756, 6.078927463672509e6, 16.903995863801303
296.31728580209847, 6.166920954218654e6, 16.72482946832909
296.9264353176645, 6.254371458069655e6, 16.540643379237334
297.52498958138113, 6.341313613827263e6, 16.350602780798095
298.113397632495, 6.4277812682353575e6, 16.153708375050122
298.69207881401036, 6.513807888369241e6, 15.948740382932014
299.26142540787134, 6.599427041726861e6, 15.73417299796036
299.82180497954283, 6.684672974882986e6, 15.508038259360218
300.37356247000895, 6.7695813357503535e6, 15.26770052532089
300.917022067486, 6.854190116772384e6, 15.009466031207763
301.45248888639725, 6.938540974032408e6, 14.727868536880994
301.98025047718966, 7.022681306570583e6, 14.414254041987252
302.5005781872517, 7.106667870485912e6, 14.053640088364796
303.0137283903946, 7.190574774558962e6, 13.616263724691844
303.5199436, 7.274514763703763e6, 13.025864132292972